date,Revenue,EBIT,CapEx,TotalAssets,TotalDebt,PretaxIncome,TaxProvision,InterestExpense,effective_tax_rate,implied_cost_of_debt,revenue_growth_1y,revenue_growth_3y,historical_ebit_margin,historical_capex_intensity,latest_shares_outstanding,latest_beta,latest_current_price,latest_roe,latest_net_margin,latest_enterprise_value,latest_market_cap,latest_debt_to_equity,revenue_ttm,ebit_ttm
2017-12-31,79139000000,11400000000.0,3229000000.0,125356000000.0,45052000000.0,11400000000.0,5642000000,615000000,,,-0.009759881880403887,,0.1440503418036619,0.04080162751614248,929396992,0.652,293.79,0.21851,0.087110005,322489417728,273047552000,0.2447742229869315,173180000000.0,22198000000.0
2018-03-31,19072000000,1136000000.0,870000000.0,125285000000.0,44168000000.0,1136000000.0,-540000000,165000000,,,0.05050950151473432,,0.05956375838926174,0.045616610738255035,929396992,0.652,293.79,0.21851,0.087110005,322489417728,273047552000,0.2447742229869315,174097000000.0,21910000000.0
2018-06-30,20003000000,3911000000.0,1801000000.0,121622000000.0,43298000000.0,3911000000.0,373000000,173000000,,,0.03701591580693653,-0.2089076700640139,0.19552067189921513,0.09003649452582113,929396992,0.652,293.79,0.21851,0.087110005,322489417728,273047552000,0.2447742229869315,174811000000.0,23378000000.0
2018-09-30,57830000000,2996000000.0,2613000000.0,121990000000.0,42762000000.0,2996000000.0,138000000,530000000,,,0.02178560701097232,0.44216644832173024,0.0518070205775549,0.04518416047034411,929396992,0.652,293.79,0.21851,0.087110005,322489417728,273047552000,0.2447742229869315,176044000000.0,19443000000.0
2018-12-31,79591000000,11342000000.0,3395000000.0,123382000000.0,42656000000.0,11342000000.0,2619000000,723000000,,,0.005711469692566196,-0.008845542889067581,0.14250354939628854,0.042655576635549246,929396992,0.652,293.79,0.21851,0.087110005,322489417728,273047552000,0.2447742229869315,176496000000.0,19385000000.0
2019-03-31,18182000000,1883000000.0,539000000.0,130926000000.0,46833000000.0,1883000000.0,289000000,210000000,,,-0.046665268456375864,-0.00903739797729175,0.10356396436035639,0.02964470355296447,929396992,0.652,293.79,0.21851,0.087110005,322489417728,273047552000,0.2447742229869315,175606000000.0,20132000000.0
2019-06-30,19161000000,4651000000.0,1122000000.0,154652000000.0,64975000000.0,4651000000.0,558000000,348000000,,,-0.04209368594710794,-0.2104057903006602,0.24273263399613798,0.05855644277438547,929396992,0.652,293.79,0.21851,0.087110005,322489417728,273047552000,0.2447742229869315,174764000000.0,20872000000.0
2019-09-30,55370000000,1522000000.0,1710000000.0,149620000000.0,62944000000.0,1522000000.0,-151000000,432000000,,,-0.04253847484004847,-0.016191075980125924,0.027487809283005236,0.030883149720065017,929396992,0.652,293.79,0.21851,0.087110005,322489417728,273047552000,0.2447742229869315,172304000000.0,19398000000.0
2019-12-31,57714000000,7206000000.0,2286000000.0,152186000000.0,,7206000000.0,60000000,1344000000,,,-0.27486776143031244,-0.1028252451609184,0.12485705374779082,0.03960910697577711,929396992,0.652,293.79,0.21851,0.087110005,322489417728,273047552000,0.2447742229869315,150427000000.0,15262000000.0
2020-03-31,17571000000,-49000000.0,630000000.0,153403000000.0,,-49000000.0,-1226000000,326000000,,,-0.03360466395336048,-0.01083955371845291,-0.002788685902908201,0.035854533037391154,929396992,0.652,293.79,0.21851,0.087110005,322489417728,273047552000,0.2447742229869315,149816000000.0,13330000000.0
2020-06-30,35694000000,1522000000.0,1215000000.0,154200000000.0,,1522000000.0,-1017000000,323000000,,,0.8628464067637389,0.22770823444794908,0.042640219644758226,0.0340393343419062,929396992,0.652,293.79,0.21851,0.087110005,322489417728,273047552000,0.2447742229869315,166349000000.0,10201000000.0
2020-09-30,17560000000,1827000000.0,1940000000.0,154128000000.0,,1827000000.0,-888000000,323000000,,,-0.6828607549214376,-0.3230181374568173,0.10404328018223234,0.11047835990888383,929396992,0.652,293.79,0.21851,0.087110005,322489417728,273047552000,0.2447742229869315,128539000000.0,10506000000.0
2020-12-31,55179000000,4637000000.0,2618000000.0,155971000000.0,,4637000000.0,-1360000000,1288000000,,,-0.04392348476972663,-0.11326383258327632,0.08403559325105565,0.04744558618314939,929396992,0.652,293.79,0.21851,0.087110005,322489417728,273047552000,0.2447742229869315,126004000000.0,7937000000.0
2021-03-31,13187000000,905000000.0,494000000.0,148629000000.0,,905000000.0,-160000000,280000000,,,-0.24950202037448066,-0.11573332948074988,0.06862819443391219,0.03746113596724046,929396992,0.652,293.79,0.21851,0.087110005,322489417728,273047552000,0.2447742229869315,121620000000.0,8891000000.0
2021-06-30,36474000000,912000000.0,1054000000.0,146814000000.0,,912000000.0,227000000,281000000,,,0.02185241217011269,0.22169487758793194,0.025004112518506334,0.028897296704501838,929396992,0.652,293.79,0.21851,0.087110005,322489417728,273047552000,0.2447742229869315,122400000000.0,8281000000.0
2021-09-30,13251000000,813000000.0,1612000000.0,144214000000.0,,813000000.0,-282000000,852000000,,,-0.24538724373576315,-0.3880745903956536,0.06135386008603124,0.12165119613614067,929396992,0.652,293.79,0.21851,0.087110005,322489417728,273047552000,0.2447742229869315,118091000000.0,7267000000.0
2021-12-31,57350000000,4837000000.0,2062000000.0,132001000000.0,,4837000000.0,124000000,1155000000,,,0.03934467822903631,-0.10348721574267838,0.08434176111595466,0.03595466434176112,929396992,0.652,293.79,0.21851,0.087110005,322489417728,273047552000,0.2447742229869315,120262000000.0,7467000000.0
2022-03-31,14197000000,623000000.0,281000000.0,133275000000.0,,623000000.0,-39000000,311000000,,,0.07659058163342691,-0.07915830348085362,0.04388251038951891,0.01979291399591463,929396992,0.652,293.79,0.21851,0.087110005,322489417728,273047552000,0.2447742229869315,121272000000.0,7185000000.0
2022-06-30,29732000000,1722000000.0,620000000.0,127503000000.0,,1722000000.0,218000000,607000000,,,-0.1848439984646597,0.15771586404356275,0.057917395398896815,0.02085295304722185,929396992,0.652,293.79,0.21851,0.087110005,322489417728,273047552000,0.2447742229869315,114530000000.0,7995000000.0
